Postcode,Dwelling Types,Number of Bedrooms,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged
2010,Townhouse,Total,888,1100,1213,32,520,8.91%,27.54%,33.33%,-20.00%
2010,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
2010,Townhouse,1 Bedroom,-,-,-,-,54,-,-,-,-
2010,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2010,Townhouse,2 Bedrooms,831,900,1106,s,206,11.46%,8.76%,50.00%,.00%
2010,Townhouse,3 Bedrooms,1100,1175,1225,s,161,-2.08%,29.12%,50.00%,9.09%
2010,Townhouse,4 or more Bedrooms,-,-,-,-,88,-,-,-,-
2010,Flat/Unit,Total,560,695,850,626,"6,529",2.96%,19.83%,18.34%,-5.86%
2010,Flat/Unit,Bedsitter,404,458,539,52,545,1.67%,22.82%,23.81%,.00%
2010,Flat/Unit,1 Bedroom,548,650,750,400,"3,727",3.17%,23.81%,24.22%,-3.61%
2010,Flat/Unit,Not Specified,-,-,-,-,199,-,-,-,-
2010,Flat/Unit,2 Bedrooms,800,900,1100,161,"1,847",-5.26%,9.76%,50.47%,-6.40%
2010,Flat/Unit,3 Bedrooms,1100,1300,1600,s,187,4.00%,4.00%,-23.53%,-31.58%
2010,Flat/Unit,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2011,Total,Total,475,620,830,621,"7,801",-4.32%,19.23%,-7.45%,-19.77%
2011,Total,Bedsitter,400,450,480,100,"1,388",1.12%,25.00%,42.86%,-42.53%
2011,Total,1 Bedroom,495,595,710,365,"3,734",2.59%,16.67%,20.46%,-12.05%
2011,Total,Not Specified,-,-,-,-,531,-,-,-,-
2011,Total,2 Bedrooms,850,975,1150,125,"1,800",8.33%,18.18%,6.84%,-16.67%
2011,Total,3 Bedrooms,990,1200,1500,s,300,-4.00%,14.29%,31.25%,-22.22%
2011,Total,4 or more Bedrooms,-,-,-,-,48,-,-,-,-
2011,House,Total,530,838,960,32,392,19.64%,17.96%,-82.42%,14.29%
2011,House,Bedsitter,-,-,-,-,72,-,-,-,-
2011,House,1 Bedroom,500,600,804,s,148,-11.11%,6.19%,-21.74%,50.00%
2011,House,Not Specified,-,-,-,-,s,-,-,-,-
2011,House,2 Bedrooms,-,-,-,-,93,-,-,-,-
2011,House,3 Bedrooms,-,-,-,-,31,-,-,-,-
2011,House,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2011,Other,Total,60,65,460,s,624,-84.88%,18.18%,-38.10%,-18.75%
2011,Other,Bedsitter,-,-,-,-,191,-,-,-,-
2011,Other,1 Bedroom,-,-,-,-,102,-,-,-,-
2011,Other,Not Specified,-,-,-,-,280,-,-,-,-
2011,Other,2 Bedrooms,-,-,-,-,41,-,-,-,-
2011,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
2011,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2011,Townhouse,Total,-,-,-,-,91,-,-,-,-
2011,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
2011,Townhouse,1 Bedroom,-,-,-,-,s,-,-,-,-
2011,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2011,Townhouse,2 Bedrooms,-,-,-,-,42,-,-,-,-
2011,Townhouse,3 Bedrooms,-,-,-,-,s,-,-,-,-
2011,Townhouse,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2011,Flat/Unit,Total,480,605,820,573,"6,694",-.82%,18.63%,23.76%,-20.86%
2011,Flat/Unit,Bedsitter,400,450,483,92,"1,123",.00%,25.00%,91.67%,-42.50%
2011,Flat/Unit,1 Bedroom,494,595,700,344,"3,470",3.48%,16.67%,24.64%,-14.00%
2011,Flat/Unit,Not Specified,-,-,-,-,221,-,-,-,-
2011,Flat/Unit,2 Bedrooms,850,978,1150,116,"1,624",8.61%,18.13%,17.17%,-13.43%
2011,Flat/Unit,3 Bedrooms,1000,1250,1700,s,242,.00%,13.64%,54.55%,-32.00%
2011,Flat/Unit,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2012,Total,Total,-,-,-,-,-,-,-,-,-
2012,Total,2 Bedrooms,-,-,-,-,-,-,-,-,-
2012,House,Total,-,-,-,-,-,-,-,-,-
2012,House,2 Bedrooms,-,-,-,-,-,-,-,-,-
2012,Flat/Unit,Total,-,-,-,-,-,-,-,-,-
2012,Flat/Unit,2 Bedrooms,-,-,-,-,-,-,-,-,-
2015,Total,Total,660,750,860,229,"2,709",.00%,15.38%,-18.79%,-16.42%
2015,Total,Bedsitter,-,-,-,-,40,-,-,-,-
2015,Total,1 Bedroom,600,670,711,104,975,3.08%,27.62%,35.06%,-5.45%
2015,Total,Not Specified,-,-,-,-,76,-,-,-,-
2015,Total,2 Bedrooms,750,850,899,86,"1,104",6.25%,21.43%,8.86%,-18.10%
2015,Total,3 Bedrooms,981,1148,1200,s,394,14.75%,15.91%,-27.78%,-29.73%
2015,Total,4 or more Bedrooms,-,-,-,-,120,-,-,-,-
2015,House,Total,775,870,1200,41,403,15.23%,-.57%,-64.66%,-6.82%
2015,House,Bedsitter,-,-,-,-,-,-,-,-,-
2015,House,1 Bedroom,-,-,-,-,44,-,-,-,-
2015,House,Not Specified,-,-,-,-,-,-,-,-,-
2015,House,2 Bedrooms,779,850,923,s,170,10.39%,11.84%,-10.00%,12.50%
2015,House,3 Bedrooms,994,1200,1200,s,125,22.45%,6.67%,-20.00%,.00%
2015,House,4 or more Bedrooms,-,-,-,-,55,-,-,-,-
2015,Other,Total,-,-,-,-,95,-,-,-,-
2015,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2015,Other,1 Bedroom,-,-,-,-,s,-,-,-,-
2015,Other,Not Specified,-,-,-,-,s,-,-,-,-
2015,Other,2 Bedrooms,-,-,-,-,s,-,-,-,-
2015,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
2015,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2015,Townhouse,Total,800,900,1200,s,270,-36.84%,.00%,75.00%,-8.70%
2015,Townhouse,1 Bedroom,-,-,-,-,s,-,-,-,-
2015,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2015,Townhouse,2 Bedrooms,-,-,-,-,78,-,-,-,-
2015,Townhouse,3 Bedrooms,-,-,-,-,128,-,-,-,-
2015,Townhouse,4 or more Bedrooms,-,-,-,-,45,-,-,-,-
2015,Flat/Unit,Total,635,730,804,166,"1,941",4.29%,21.67%,9.21%,-16.16%
2015,Flat/Unit,Bedsitter,-,-,-,-,31,-,-,-,-
2015,Flat/Unit,1 Bedroom,600,665,700,92,889,2.31%,26.67%,31.43%,-4.17%
2015,Flat/Unit,Not Specified,-,-,-,-,36,-,-,-,-
2015,Flat/Unit,2 Bedrooms,750,810,875,61,836,-1.82%,17.39%,7.02%,-25.61%
2015,Flat/Unit,3 Bedrooms,-,-,-,-,134,-,-,-,-
