Postcode,Dwelling Types,Number of Bedrooms,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged
2011,Flat/Unit,1 Bedroom,494,595,700,344,"3,470",3.48%,16.67%,24.64%,-14.00%
2011,Flat/Unit,2 Bedrooms,850,978,1150,116,"1,624",8.61%,18.13%,17.17%,-13.43%
2011,Flat/Unit,3 Bedrooms,1000,1250,1700,s,242,.00%,13.64%,54.55%,-32.00%
2015,Total,Total,660,750,860,229,"2,709",.00%,15.38%,-18.79%,-16.42%
2015,Total,1 Bedroom,600,670,711,104,975,3.08%,27.62%,35.06%,-5.45%
2015,Total,2 Bedrooms,750,850,899,86,"1,104",6.25%,21.43%,8.86%,-18.10%
2015,Total,3 Bedrooms,981,1148,1200,s,394,14.75%,15.91%,-27.78%,-29.73%
2015,House,Total,775,870,1200,41,403,15.23%,-.57%,-64.66%,-6.82%
2015,House,2 Bedrooms,779,850,923,s,170,10.39%,11.84%,-10.00%,12.50%
2015,House,3 Bedrooms,994,1200,1200,s,125,22.45%,6.67%,-20.00%,.00%
2015,Townhouse,Total,800,900,1200,s,270,-36.84%,.00%,75.00%,-8.70%
2015,Flat/Unit,Total,635,730,804,166,"1,941",4.29%,21.67%,9.21%,-16.16%
2015,Flat/Unit,1 Bedroom,600,665,700,92,889,2.31%,26.67%,31.43%,-4.17%
2015,Flat/Unit,2 Bedrooms,750,810,875,61,836,-1.82%,17.39%,7.02%,-25.61%
2016,Total,Total,539,608,679,"1,146","4,370",-6.32%,10.55%,126.93%,167.13%
2016,Total,Bedsitter,420,458,595,s,137,-16.82%,30.71%,63.64%,50.00%
2016,Total,1 Bedroom,529,579,649,967,"2,326",1.22%,18.40%,228.91%,267.68%
2016,Total,2 Bedrooms,775,850,950,96,"1,109",.00%,21.43%,9.09%,3.23%
2016,Total,3 Bedrooms,950,1075,1220,44,471,-4.44%,18.13%,37.50%,15.79%
2016,Total,4 or more Bedrooms,1325,1500,1600,s,154,17.65%,25.00%,7.14%,-28.57%
2016,House,Total,796,950,1221,58,519,9.51%,7.65%,-43.14%,-3.33%
2016,House,2 Bedrooms,760,850,950,s,188,6.25%,11.48%,75.00%,31.25%
2016,House,3 Bedrooms,900,1050,1200,s,162,-4.55%,16.67%,13.33%,-10.53%
2016,House,4 or more Bedrooms,1338,1488,1625,s,93,23.96%,19.00%,.00%,-36.84%
2016,Other,Total,519,559,639,572,941,14.31%,5.67%,853.33%,580.95%
2016,Other,1 Bedroom,519,569,639,567,739,16.36%,7.56%,877.59%,591.46%
2016,Townhouse,Total,800,950,1250,s,233,-10.59%,26.67%,75.00%,40.00%
2016,Flat/Unit,Total,561,619,700,495,"2,677",-3.13%,16.57%,49.55%,83.33%
2016,Flat/Unit,Bedsitter,425,458,578,s,97,-20.09%,30.71%,75.00%,27.27%
2016,Flat/Unit,1 Bedroom,559,608,659,393,"1,520",1.50%,24.97%,75.45%,125.86%
2016,Flat/Unit,2 Bedrooms,794,868,956,68,804,2.06%,25.72%,-10.53%,-1.45%
2016,Flat/Unit,3 Bedrooms,1000,1050,1200,s,198,-1.18%,16.67%,50.00%,20.00%
2017,Total,Total,750,900,1050,"1,294","9,205",-3.23%,23.29%,-7.11%,13.61%
2017,Total,1 Bedroom,700,750,790,462,"3,187",2.74%,26.05%,55.03%,11.59%
2017,Total,2 Bedrooms,900,970,1050,677,"4,918",-3.00%,24.36%,30.95%,13.78%
2017,Total,3 Bedrooms,1200,1330,1450,135,828,-3.62%,23.15%,15.38%,15.38%
2017,House,Total,763,950,1185,38,359,5.56%,30.14%,-90.31%,8.57%
2017,House,2 Bedrooms,795,950,1000,s,162,4.40%,29.25%,-40.00%,-25.00%
2017,Other,Total,750,900,950,s,191,-25.00%,5.88%,-38.89%,100.00%
2017,Other,2 Bedrooms,900,950,950,s,84,-15.56%,11.76%,-18.75%,160.00%
2017,Townhouse,Total,1048,1300,1376,s,217,-7.14%,41.30%,22.22%,22.22%
2017,Flat/Unit,Total,750,900,1050,"1,223","8,438",-3.23%,23.29%,27.93%,12.82%
2017,Flat/Unit,1 Bedroom,700,750,795,448,"3,048",2.74%,25.52%,61.15%,10.89%
2017,Flat/Unit,2 Bedrooms,900,970,1050,646,"4,561",-3.00%,24.36%,36.29%,14.13%
2017,Flat/Unit,3 Bedrooms,1215,1350,1450,120,704,.00%,25.00%,26.32%,14.29%
2018,Total,Total,720,865,1000,479,"3,883",-1.70%,23.57%,-9.45%,11.40%
2018,Total,1 Bedroom,660,700,750,141,893,.00%,22.27%,36.89%,41.00%
2018,Total,2 Bedrooms,830,900,970,248,"2,150",.00%,23.29%,15.35%,-5.70%
2018,Total,3 Bedrooms,1150,1200,1300,70,624,-7.69%,25.00%,-12.50%,22.81%
2018,Total,4 or more Bedrooms,1330,1450,1625,s,109,7.41%,11.54%,15.38%,66.67%
2018,House,Total,850,1045,1281,38,421,16.11%,27.05%,-74.15%,18.75%
2018,House,3 Bedrooms,944,1110,1200,s,182,-11.20%,23.33%,-26.32%,7.69%
2018,Other,Total,855,880,900,s,129,-10.20%,16.94%,-15.38%,37.50%
2018,Flat/Unit,Total,700,850,993,424,"3,248",-2.30%,22.74%,18.11%,10.99%
2018,Flat/Unit,1 Bedroom,660,700,750,133,845,.00%,20.69%,40.00%,40.00%
2018,Flat/Unit,2 Bedrooms,820,900,970,233,"1,971",.00%,24.14%,21.99%,-5.67%
2018,Flat/Unit,3 Bedrooms,1200,1240,1300,52,369,-8.15%,26.53%,1.96%,40.54%
2019,Total,Total,700,800,940,177,"1,798",2.56%,31.15%,-11.50%,1.72%
2019,Total,1 Bedroom,650,680,700,64,470,6.25%,30.77%,30.61%,-4.48%
2019,Total,2 Bedrooms,800,850,900,77,832,6.25%,26.39%,4.05%,-1.28%
2019,Total,3 Bedrooms,1000,1090,1150,s,335,9.00%,28.24%,-14.71%,31.82%
2019,House,Total,900,1050,1183,s,205,31.25%,20.00%,-67.44%,16.67%
2019,Townhouse,Total,890,995,1163,s,155,-.50%,10.56%,23.08%,45.45%
2019,Flat/Unit,Total,680,760,880,145,"1,346",.66%,35.71%,3.57%,.00%
2019,Flat/Unit,1 Bedroom,650,680,700,62,431,7.09%,30.77%,40.91%,-1.59%
2019,Flat/Unit,2 Bedrooms,800,850,900,68,732,6.25%,27.82%,-1.45%,-5.56%
2019,Flat/Unit,3 Bedrooms,1065,1100,1150,s,147,15.79%,29.41%,-25.00%,66.67%
2020,Total,Total,680,800,1000,824,"5,276",-5.88%,9.59%,-.12%,33.77%
2020,Total,1 Bedroom,579,680,739,402,"1,586",.15%,17.24%,44.60%,123.33%
2020,Total,2 Bedrooms,880,950,1000,286,"2,512",5.56%,26.67%,1.06%,2.14%
